STATE,District Name,Market Name,Commodity,Variety,Grade
Rajasthan,hanumangarh,Sangriya,Onion,Onion,FAQ
Haryana,panchkula,Panchkul(Kalka),Onion,Other,FAQ
Madhya Pradesh,seoni,Ghansour,Wheat,Other,FAQ
Himachal Pradesh,kangra,Kangra(Baijnath),Tomato,Tomato,FAQ
Orissa,dhenkanal,Kamakhyanagar,Tomato,Tomato,FAQ
Delhi,delhi,Shahdara,Onion,Nasik,FAQ
Punjab,kapurthala,Phagwara,Potato,Other,FAQ
Chattisgarh,rajnandgaon,Kheragarh,Wheat,Other,FAQ
Karnataka,udupi,Udupi,Onion,Onion,FAQ
Orissa,malkangiri,Malkanagiri,Tomato,Other,FAQ
Karnataka,bidar,Basava Kalayana,Wheat,Mexican,FAQ
West Bengal,kolkata,Bara Bazar (Posta Bazar),Onion,Nasik,FAQ
Madhya Pradesh,betul,Betul,Wheat,Lokwan,FAQ
Rajasthan,hanumangarh,Hanumangarh Town,Tomato,Deshi,FAQ
Maharashtra,nashik,Pimpalgaon Baswant(Saykheda),Onion,Other,FAQ
Madhya Pradesh,hoshangabad,Pipariya,Onion,Onion,FAQ
Punjab,hoshiarpur,Garh Shankar,Onion,Other,FAQ
Haryana,panipat,Madlauda,Tomato,Other,FAQ
Rajasthan,jodhpur,Jodhpur(F&V)(Paota),Tomato,Other,FAQ
Rajasthan,bharatpur,Bayana,Potato,Other,FAQ
Jammu & Kashmir,udhampur,Udhampur,Onion,Other,FAQ
Uttar Pradesh,agra,Fatehabad,Tomato,Deshi,FAQ
Madhya Pradesh,shajapur,Kalapipal,Wheat,MP Sharbati,FAQ
Uttar Pradesh,kaushambi,Bharwari,Onion,Red,FAQ
Madhya Pradesh,rewa,Baikunthpur,Wheat,Dara Mill Quality,FAQ
Rajasthan,bikaner,Bikaner (F&V),Potato,Other,FAQ
Uttar Pradesh,agra,Fatehabad,Onion,Red,FAQ
Uttar Pradesh,shahjahanpur,Puwaha,Potato,Desi,FAQ
Haryana,gurgaon,Farukh Nagar,Onion,Other,FAQ
Kerala,thiruvananthapuram,Pothencode,Potato,Other,FAQ
Uttar Pradesh,jhansi,Moth,Tomato,Deshi,FAQ
Andhra Pradesh,nalgonda,Miryalguda(Rythu Bazar),Tomato,Deshi,FAQ
West Bengal,nadia,Karimpur,Wheat,Other,FAQ
Haryana,gurgaon,Farukh Nagar,Tomato,Other,FAQ
West Bengal,paschim bardhaman,Durgapur,Tomato,Hybrid,FAQ
Gujarat,gandhinagar,Kalol,Wheat,Other,FAQ
Orissa,bargarh,Bargarh(Barapalli),Onion,Other,FAQ
